evaluation_mode,mode,sample_index,num_gold,num_pred,tp,fp,fn,precision,recall,f1,accuracy
type_only,type_only,9,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,10,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,11,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,19,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,25,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,30,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,33,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,39,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,46,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,48,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,49,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,53,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,65,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,66,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,70,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,80,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,84,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,85,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,87,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,92,4,4,4,0,0,1.0,1.0,1.0,1.0
type_only,type_only,108,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,109,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,111,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,136,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,173,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,181,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,183,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,187,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,202,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,212,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,221,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,230,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,231,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,237,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,239,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,269,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,292,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,302,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,304,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,312,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,316,6,6,6,0,0,1.0,1.0,1.0,1.0
type_only,type_only,319,6,6,6,0,0,1.0,1.0,1.0,1.0
type_only,type_only,322,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,333,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,338,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,339,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,348,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,351,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,352,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,354,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,386,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,387,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,391,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,415,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,419,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,420,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,432,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,447,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,472,3,3,3,0,0,1.0,1.0,1.0,1.0
type_only,type_only,484,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,499,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,503,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,510,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,517,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,537,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,538,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,545,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,546,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,553,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,555,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,559,4,4,4,0,0,1.0,1.0,1.0,1.0
type_only,type_only,568,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,592,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,613,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,622,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,624,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,625,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,660,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,661,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,664,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,667,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,678,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,713,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,724,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,726,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,742,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,748,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,750,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,779,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,780,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,803,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,810,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,811,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,817,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,819,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,826,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,845,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,856,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,857,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,874,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,897,3,3,3,0,0,1.0,1.0,1.0,1.0
type_only,type_only,904,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,908,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,912,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,924,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,927,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,928,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,932,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,944,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,947,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,951,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,953,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,955,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,960,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,965,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,977,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,984,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1003,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1012,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1027,2,2,2,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1045,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1047,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1056,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1059,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1060,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1070,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1072,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1073,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1078,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1092,1,1,1,0,0,1.0,1.0,1.0,1.0
type_only,type_only,1113,2,2,2,0,0,1.0,1.0,1.0,1.0
